author|profile_href|location|date_time|forum_title|comment_text
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/28/2020 11:54  AM|Bullet (Torpedo) Bras|"
			Can you get it off with 1 hand ?
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/28/2020 11:53  AM|Bullet (Torpedo) Bras|"
			Right that be cool to use them for ..heheh
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/27/2020  8:42  PM|Helping each other...what do you need/have|"
			A Cock would be nice ,, Got Condoms tho and still have TP , But we may run out of Meat Now
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/27/2020  8:34  PM|Someday Over the Rainbow|"
			I can wax it ..
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/27/2020  8:22  PM|Describe your naughty bits in a movie title|"
			Six  & Half Weeks
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/27/2020  8:18  PM|Bullet (Torpedo) Bras|"
			no under wires  I would never be able to see my feet if I had one on lol
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/27/2020  1:02  PM|Are you Considering Other Options?|"
			Orange Glow just trying to get votes for 2020  .
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/23/2020  9:02  PM|Haircuts?|"
			It's been 10 weeks that I had my hair done
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/23/2020  8:54  PM|the right to refuse   😳|"
			hi/ is this Gina / your tits are fucking huge / and it just keeps going 
 


	U available @ 2am
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/23/2020 12:02  PM|the right to refuse   😳|"
			^Thanks right .. I wake up to the dumbest text some days
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/23/2020 11:55  AM|Where is your happy??|"
			I will get hives ..
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/22/2020  8:13  PM|Where is your happy??|"
			1. can't be around dogs
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/22/2020  5:35  PM|New Documentary|"
			How about her .. she looks like a cat 
 


	https://www.thesun.co.uk/news/2906956/jocelyn-wildenstein-cat-woman-net-worth-surgery/
 

nintchdbpict0003015996711.webp
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/22/2020  5:28  PM|the right to refuse   😳|"
			Should see some of the text when  men think they don't need to screen or tell you off for asking 
 


	. I'v gotten the are you going to call my boss or  friends .. No
 


	Ok Bi**H I'll call the cops .. Go head I say lol
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|04/21/2020  9:46  PM|Overcome the lockdown|"
			And he was giving out condoms ..
		"
JoDoe27|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=6631|N/A|04/28/2020  7:00  AM|If the decision was yours...|"
			Why not both?  
	I did get point. And I do mostly agree.   
	“Yippee ki yay, motherfucker.” - John McClane
		"
